"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Тесты регистрации нового пользователя.","Тест регистрации нового пользователя.","0","2","0","0","0"
"","Тесты добавления рецептов в список покупок.","Тест добавления рецептов в список покупок.","0","1","0","0","0"
"","Тесты добавления рецептов в избранное.","Тест добавления рецептов в избранное","0","1","0","0","0"
"","Тесты фильтрации по тегу.","Тест фильтрации по тегу на главной странице.","0","3","0","0","0"
"","Тесты подписки на автора рецептов.","Тест осуществления отписки на автора","0","1","0","0","0"
"","Тесты создания рецепта.","Тест создания рецепта.","0","3","0","0","0"
"","Тесты аутентификации зарегистрированного пользователя.","Негативный тест: Тест аутентификации                  с невалидными данными.","0","1","0","0","0"
"","Тесты аутентификации зарегистрированного пользователя.","Тест изменения пароля.","0","1","0","0","0"
"","Тесты регистрации нового пользователя.","Негативный тест: Тест регистрации нового пользователя                  с использованием невалидных данных.","0","2","0","0","0"
"","Тесты добавления рецептов в избранное.","Тест удаления рецептов из избранного","0","1","0","0","0"
"","Тесты аутентификации зарегистрированного пользователя.","Тест аутентификации.","0","1","0","0","0"
"","Тесты подписки на автора рецептов.","Тест осуществления подписки на автора","0","1","0","0","0"
"","Тесты аутентификации зарегистрированного пользователя.","Негативный тест: Тест аутентификации с                  использованием невалидных данных.","0","1","0","0","0"
